time_s,policy,sleep_fraction,p50_us,p99_us,p999_us,drops,packets
0.1,baseline,0.3819,0,92,99,0,2706
0.2,baseline,0.3938,0,93,99,0,2765
0.3,baseline,0.3842,0,92,98,0,2771
0.4,baseline,0.3731,0,94,99,0,2771
0.5,baseline,0.3847,0,95,99,0,2575
0.6,baseline,0.3572,0,92,99,0,3142
0.7,baseline,0.3830,0,92,98,0,2496
0.8,baseline,0.3771,0,93,99,0,2841
0.9,baseline,0.3480,0,91,99,0,2829
1.0,baseline,0.3967,0,91,99,0,2546
1.1,baseline,0.3823,0,92,99,0,2804
1.2,baseline,0.3380,0,93,99,0,3273
1.3,baseline,0.3510,0,92,99,0,2765
1.4,baseline,0.3550,0,93,99,0,2947
1.5,baseline,0.3600,0,91,99,0,3112
1.6,baseline,0.3680,0,93,98,0,2842
1.7,baseline,0.3790,0,93,99,0,2785
1.8,baseline,0.3670,0,93,99,0,2854
1.9,baseline,0.3600,0,94,99,0,2768
2.0,baseline,0.3879,0,93,99,0,2421
2.1,baseline,0.3560,0,91,99,0,2921
2.2,baseline,0.3810,0,92,99,0,2933
2.3,baseline,0.3710,0,92,98,0,3085
2.4,baseline,0.3540,0,90,98,0,2968
2.5,baseline,0.3620,0,91,98,0,3167
2.6,baseline,0.3720,0,92,98,0,3038
2.7,baseline,0.3590,0,91,98,0,3012
2.8,baseline,0.3750,0,92,98,0,2835
2.9,baseline,0.3700,0,94,99,0,2757
3.0,baseline,0.3768,0,94,98,0,2827
3.1,baseline,0.3642,0,94,99,0,2659
3.2,baseline,0.3760,0,92,98,0,2724
3.3,baseline,0.3660,0,93,99,0,2667
3.4,baseline,0.3780,0,94,98,0,2776
3.5,baseline,0.3670,0,92,98,0,3012
3.6,baseline,0.3647,0,93,98,0,2853
3.7,baseline,0.3513,0,89,98,0,3015
3.8,baseline,0.3779,0,92,98,0,2674
3.9,baseline,0.3801,0,93,99,0,2713
4.0,baseline,0.3591,0,92,99,0,2914
