time_s,policy,sleep_fraction,p50_us,p99_us,p999_us,drops,packets
0.1,baseline,0.1360,0,84,98,0,2713
0.2,baseline,0.1479,0,85,97,0,2758
0.3,baseline,0.1411,0,81,95,0,2772
0.4,baseline,0.1310,0,83,98,0,2770
0.5,baseline,0.1320,0,82,96,0,2575
0.6,baseline,0.1350,0,77,99,0,3143
0.7,baseline,0.1339,0,82,97,0,2495
0.8,baseline,0.1481,0,80,95,0,2841
0.9,baseline,0.1130,0,80,98,0,2829
1.0,baseline,0.1520,0,77,97,0,2546
1.1,baseline,0.1410,0,78,95,0,2804
1.2,baseline,0.1170,0,80,98,0,3273
1.3,baseline,0.1200,0,82,96,0,2765
1.4,baseline,0.1150,0,82,97,0,2947
1.5,baseline,0.1310,0,86,96,0,3112
1.6,baseline,0.1300,0,81,97,0,2847
1.7,baseline,0.1410,0,86,99,0,2780
1.8,baseline,0.1390,0,82,95,0,2854
1.9,baseline,0.1250,0,79,98,0,2768
2.0,baseline,0.1440,0,87,96,0,2421
2.1,baseline,0.1230,0,81,94,0,2922
2.2,baseline,0.1550,0,75,96,0,2932
2.3,baseline,0.1430,0,77,98,0,3085
2.4,baseline,0.1160,0,75,97,0,2968
2.5,baseline,0.1370,0,78,94,0,3167
2.6,baseline,0.1360,0,80,97,0,3038
2.7,baseline,0.1200,0,78,96,0,3012
2.8,baseline,0.1390,0,81,97,0,2835
2.9,baseline,0.1260,0,84,99,0,2757
3.0,baseline,0.1479,0,79,96,0,2827
3.1,baseline,0.1310,0,84,95,0,2659
3.2,baseline,0.1461,0,84,96,0,2724
3.3,baseline,0.1280,0,84,97,0,2667
3.4,baseline,0.1440,0,84,98,0,2776
3.5,baseline,0.1430,0,81,98,0,3012
3.6,baseline,0.1260,0,77,96,0,2854
3.7,baseline,0.1220,0,69,89,0,3014
3.8,baseline,0.1369,0,82,97,0,2674
3.9,baseline,0.1340,0,85,98,0,2713
4.0,baseline,0.1280,0,78,97,0,2914
