time_s,policy,sleep_fraction,p50_us,p99_us,p999_us,drops,packets
0.1,baseline,0.8230,26,98,99,0,2713
0.2,baseline,0.8273,27,98,99,0,2758
0.3,baseline,0.8235,26,98,99,0,2771
0.4,baseline,0.8229,27,98,99,0,2771
0.5,baseline,0.8316,32,98,99,0,2575
0.6,baseline,0.8165,26,98,99,0,3142
0.7,baseline,0.8308,32,98,99,0,2496
0.8,baseline,0.8148,24,98,99,0,2841
0.9,baseline,0.8155,26,98,99,0,2822
1.0,baseline,0.8258,25,98,99,0,2553
1.1,baseline,0.8213,26,98,99,0,2804
1.2,baseline,0.8017,24,98,99,0,3271
1.3,baseline,0.8226,28,98,99,0,2767
1.4,baseline,0.8124,28,97,99,0,2947
1.5,baseline,0.8037,22,98,99,0,3112
1.6,baseline,0.8216,27,98,99,0,2842
1.7,baseline,0.8228,29,98,99,0,2785
1.8,baseline,0.8180,29,98,99,0,2853
1.9,baseline,0.8133,25,98,99,0,2769
2.0,baseline,0.8315,32,98,99,0,2421
2.1,baseline,0.8112,22,98,99,0,2921
2.2,baseline,0.8196,25,98,99,0,2934
2.3,baseline,0.8162,27,98,99,0,3083
2.4,baseline,0.8156,25,98,99,0,2969
2.5,baseline,0.8180,29,98,99,0,3167
2.6,baseline,0.8113,21,98,99,0,3037
2.7,baseline,0.8097,28,98,99,0,3013
2.8,baseline,0.8228,29,98,99,0,2834
2.9,baseline,0.8161,25,98,99,0,2757
3.0,baseline,0.8200,26,98,99,0,2828
3.1,baseline,0.8201,29,98,99,0,2659
3.2,baseline,0.8260,31,97,99,0,2724
3.3,baseline,0.8240,29,97,99,0,2667
3.4,baseline,0.8195,24,98,99,0,2777
3.5,baseline,0.8157,28,97,99,0,3011
3.6,baseline,0.8178,27,98,99,0,2854
3.7,baseline,0.8133,24,98,99,0,3014
3.8,baseline,0.8274,28,99,99,0,2674
3.9,baseline,0.8191,25,98,99,0,2713
4.0,baseline,0.8181,27,98,99,0,2912
