time_s,policy,sleep_fraction,p50_us,p99_us,p999_us,drops,packets
0.1,baseline,0.6610,0,96,99,0,2713
0.2,baseline,0.6579,0,97,99,0,2758
0.3,baseline,0.6600,0,97,99,0,2771
0.4,baseline,0.6447,0,96,99,0,2771
0.5,baseline,0.6644,0,97,99,0,2575
0.6,baseline,0.6390,0,96,99,0,3143
0.7,baseline,0.6618,0,98,99,0,2495
0.8,baseline,0.6456,0,97,99,0,2841
0.9,baseline,0.6446,0,96,99,0,2829
1.0,baseline,0.6694,0,96,99,0,2546
1.1,baseline,0.6576,0,97,99,0,2804
1.2,baseline,0.6250,0,96,99,0,3273
1.3,baseline,0.6440,0,97,99,0,2765
1.4,baseline,0.6338,0,97,99,0,2947
1.5,baseline,0.6282,0,96,99,0,3112
1.6,baseline,0.6520,0,96,99,0,2847
1.7,baseline,0.6510,0,96,99,0,2780
1.8,baseline,0.6526,0,97,99,0,2853
1.9,baseline,0.6489,0,97,99,0,2769
2.0,baseline,0.6741,0,96,99,0,2421
2.1,baseline,0.6342,0,95,98,0,2921
2.2,baseline,0.6546,0,96,99,0,2934
2.3,baseline,0.6265,0,96,99,0,3084
2.4,baseline,0.6430,0,97,99,0,2968
2.5,baseline,0.6334,0,97,99,0,3167
2.6,baseline,0.6424,0,96,99,0,3037
2.7,baseline,0.6311,0,96,99,0,3002
2.8,baseline,0.6530,0,96,99,0,2844
2.9,baseline,0.6479,0,97,99,0,2758
3.0,baseline,0.6455,0,96,99,0,2828
3.1,baseline,0.6564,0,97,99,0,2659
3.2,baseline,0.6512,0,96,99,0,2724
3.3,baseline,0.6569,0,98,99,0,2656
3.4,baseline,0.6521,0,96,99,0,2789
3.5,baseline,0.6420,0,97,99,0,3010
3.6,baseline,0.6467,0,95,99,0,2853
3.7,baseline,0.6273,0,96,99,0,3015
3.8,baseline,0.6635,0,96,99,0,2674
3.9,baseline,0.6491,0,97,99,0,2713
4.0,baseline,0.6412,0,96,99,0,2912
