time_s,policy,empty_polls,full_polls,packets,sleeps,skip_fraction,nanoseconds_per_inference,packets_missed
10.2,baseline,997,0,0,997,1.0000,11.85,0
10.3,baseline,997,0,0,997,1.0000,11.54,0
10.4,baseline,997,0,0,997,1.0000,11.58,0
10.5,baseline,996,0,0,996,1.0000,11.71,0
10.6,baseline,997,0,0,997,1.0000,11.64,0
10.7,baseline,997,0,0,997,1.0000,11.72,0
10.8,baseline,997,0,0,997,1.0000,11.53,0
10.9,baseline,997,0,0,997,1.0000,11.60,0
11.0,baseline,998,0,0,998,1.0000,11.76,0
11.1,baseline,998,0,0,998,1.0000,11.56,0
11.2,baseline,999,0,0,999,1.0000,11.30,0
11.3,baseline,998,0,0,998,1.0000,11.60,0
11.4,baseline,998,0,0,998,1.0000,11.66,0
11.5,baseline,995,0,0,995,1.0000,11.81,0
11.6,baseline,997,0,0,997,1.0000,11.55,0
11.7,baseline,996,0,0,996,1.0000,12.01,0
11.8,baseline,998,0,0,998,1.0000,11.69,0
11.9,baseline,997,0,0,997,1.0000,11.78,0
12.0,baseline,997,0,0,997,1.0000,11.52,0
12.1,baseline,998,0,0,998,1.0000,11.68,0
12.2,baseline,997,0,0,997,1.0000,11.67,0
12.3,baseline,998,0,0,998,1.0000,11.61,0
12.4,baseline,997,0,0,997,1.0000,11.68,0
12.5,baseline,995,0,0,995,1.0000,11.49,0
12.6,baseline,998,0,0,998,1.0000,11.63,0
12.7,baseline,997,0,0,997,1.0000,11.79,0
12.8,baseline,997,0,0,997,1.0000,11.79,0
12.9,baseline,996,0,0,996,1.0000,11.78,0
13.0,baseline,998,0,0,998,1.0000,11.62,0
13.1,baseline,997,0,0,997,1.0000,11.93,0
13.2,baseline,996,0,0,996,1.0000,11.56,0
13.3,baseline,998,0,0,998,1.0000,11.41,0
13.4,baseline,998,0,0,998,1.0000,11.29,0
13.5,baseline,998,0,0,998,1.0000,11.55,0
13.6,baseline,997,0,0,997,1.0000,12.28,0
13.7,baseline,998,0,0,998,1.0000,11.61,0
13.8,baseline,998,0,0,998,1.0000,11.68,0
13.9,baseline,997,0,0,997,1.0000,11.71,0
14.0,baseline,997,0,0,997,1.0000,11.50,0
14.1,baseline,998,0,0,998,1.0000,11.61,0
14.2,baseline,998,0,0,998,1.0000,11.56,0
14.3,baseline,998,0,0,998,1.0000,11.58,0
14.4,baseline,998,0,0,998,1.0000,11.52,0
14.5,baseline,998,0,0,998,1.0000,11.57,0
14.6,baseline,998,0,0,998,1.0000,11.55,0
